英語,品詞,意味
you,[代],あなたは［が］
you,[代],あなたたちは［が］
you,[代],あなたたちに［を］
you'll,,← you will
you're,,← you are
young,[形],若い
your,[代],あなたの
your,[代],あなたたちの
yours,[代],あなたのもの
yours,[代],"〔通例 Yours, で手紙の結びのことば〕敬具"
yourself,[代],あなた自身
yum,[間],おいしい
Zambia,[名],ザンビア
zero,[名] [形],ゼロ（の），零（の）
zoo,[名],動物園
zookeeper,[名],動物園の飼育係
